stock return,Economic Policy Uncertainty Index,Investor Sentiment (CCI),CPI,non_risk
0.930443561,87,2.06,113.4,35
0.813603029,87,2.01,102.1,29
0.64190066,87,2.11,109.8,26
0.924524009,87,2.08,104.3,32
0.949410924,87,1.96,99.8,31
1,87,1.91,83.9,33
0.673017318,87,2.08,100.7,28
0.820162124,87,2.03,95.3,31
0.740443487,87,1.88,88.5,30
0.683261046,87,2.13,113.4,27
0.788716113,87,1.88,81.6,29
0.683261046,87,2.13,114.8,26
0.957063203,87,1.91,86.2,32
0.813603029,87,1.98,93,31
0.677795133,87,2.11,112.5,25
0.813603029,87,2.01,99.8,31
0.627359983,87,2.13,108,28
0.856108984,87,2.06,114.3,32
0.089238505,87,1.85,95.7,24
0.813603029,87,1.85,81.6,31
0.189970782,87,2.01,103,22
0.645815447,87,2.11,111.6,35
0.673017293,87,1.91,93.9,27
0.807869656,87,1.85,83.9,33
0.689118057,87,1.98,99.8,31
0.684563353,87,1.91,89.4,29
0.521380871,87,1.93,96.6,29
0.677795133,87,2.13,99.8,25
0.677795133,87,1.93,87.5,25
0.057285647,87,2.06,103,27
0.200686316,87,2.08,108.9,24
0.15785173,86,1.91,81.6,23
0.677795133,86,1.96,93.4,24
0.085859857,86,2.08,114.8,30
0.673017293,86,2.08,114.8,27
0.460137409,86,1.98,104.3,31
0.649078395,86,1.91,81.6,30
0.695589277,86,2.11,108.9,30
0.949410924,86,1.93,88.5,30
0.193620199,85,2.03,92.5,23
0.154871273,85,1.85,81.6,22
0.387613703,85,1.85,88.5,31
0.419258709,85,2.08,95.7,26
0.813603029,85,2.03,102.5,28
0.695589277,85,2.06,111.6,34
0.484050499,85,1.98,82.1,26
0.827397746,85,1.85,93,35
0.760381066,85,2.01,98.4,29
0.957063203,85,1.85,81.6,35
0.065615845,84,2.06,102.1,23
0.1197361,84,1.93,96.2,27
0.047897357,84,2.03,100.2,25
0.109371671,84,1.93,91.2,24
0.197850975,84,1.85,81.6,34
0.211691086,83,2.11,106.6,22
0.421833211,83,2.03,98,32
0.496493956,83,1.96,101.2,28
0.561587151,83,2.08,102.1,32
0.148077145,83,2.01,114.8,27
0.719053407,83,2.03,114.8,32
0.130666259,83,2.13,108.9,23
0.297398635,83,2.13,114.8,26
0.446720126,83,2.03,113.4,26
0.635753667,82,2.11,114.8,35
0.64190066,82,2.11,114.8,27
0.236747232,82,2.11,113.4,22
0.262696321,82,1.96,93,28
0.16549699,82,2.11,110,21
0.754073528,82,2.01,113.4,35
0.31117531,82,1.91,103,27
0.446720126,82,2.11,108.4,25
0.577914087,81,2.13,108.9,31
0.241588235,81,1.98,114.8,21
0.359615923,81,2.03,104.3,34
0.493100277,81,2.03,99.8,25
0.179571163,81,2.01,88.9,23
0.244678145,81,2.11,114.8,32
0.086595365,81,2.11,104.8,25
0.396946296,81,2.11,104.8,29
0.673017293,81,2.13,106.6,31
0.180855054,80,1.88,86.2,32
0.280008132,80,2.01,94.8,30
0.438009706,80,2.06,111.6,29
0.81257495,80,2.01,93.9,31
0.441734705,80,1.91,94.3,31
0.117391579,80,2.08,114.8,28
0.676938426,80,2.03,89.8,27
0.334388057,80,1.91,86.2,35
0.250526022,80,1.96,90.7,27
0.274004935,80,2.03,99.8,27
0.216024396,79,1.91,81.6,21
0.08471705,79,2.06,110.2,23
0.05790787,79,2.11,106.1,23
0.215752631,79,1.98,86.2,23
0.599718086,79,2.03,95.3,28
0.306001544,79,1.85,81.6,32
0.161387389,79,1.98,101.2,24
0.052946489,79,2.13,109.8,27
0.4770299,79,1.91,86.2,35
0.097131639,79,1.96,81.6,22
0.44272045,79,1.93,93,26
0.283823968,79,2.01,94.8,33
0.260068263,79,1.96,81.6,28
0.299713716,79,2.13,114.8,33
0.098303315,79,2.13,114.8,33
0.037572074,79,2.13,101.2,23
0.309842093,79,1.98,93.4,30
0.460137409,79,2.06,102.1,30
0.206537479,79,1.96,102.1,35
0.23135257,79,1.85,89.4,27
0.683261046,79,2.01,89.4,26
0.319796859,79,2.03,99.8,32
0.193868073,78,1.98,91.6,21
0.401923679,78,1.91,81.6,30
0.316730443,78,1.96,81.6,30
0.21102576,78,1.98,93,28
0.197850975,78,2.08,109.3,23
0.128202454,78,2.06,114.8,22
0.333173576,78,1.93,84.4,28
0.425566248,78,2.01,86.2,28
0.348609187,78,1.91,97.5,32
