ï»¿Year,Monthly,Economic Policy Uncertainty Index,EPU_G,Investor Sentiment (CCI),CCI_G,stock return,CPI,CPI_G,non_risk
2011,1,123.6801453,0.00734,97.02928,-0.00483,-0.00627,116.9,0.00086,0.7718
2011,2,119.1212845,-0.03686,96.77232,-0.00265,0.02236,117.8,0.0077,0.88485
2011,3,131.4225464,0.10327,96.61766,-0.0016,-0.01422,118.1,0.00255,0.832347826
2011,4,97.93698883,-0.25479,96.65205,0.00036,0.02727,119.3,0.01016,0.747833333
2011,5,94.24407196,-0.03771,97.03699,0.00398,-0.01316,119.5,0.00168,0.65845
2011,6,122.69767,0.30191,97.06597,0.0003,-0.00739,119.4,-0.00084,0.6175
2011,7,149.0282898,0.2146,96.75663,-0.00319,-0.02195,119.4,0,0.553428571
2011,8,177.7531281,0.19275,96.28738,-0.00485,-0.07234,120.1,0.00586,0.528181818
2011,9,153.3276367,-0.13741,95.87936,-0.00424,-0.04932,120.9,0.00666,0.548045455
2011,10,149.6909027,-0.02372,95.62433,-0.00266,0.08106,121,0.00083,0.562809524
2011,11,209.8984985,0.40221,95.6523,0.00029,-0.007,121.2,0.00165,0.4915
2011,12,140.6279755,-0.33002,95.85217,0.00209,0.01214,121.7,0.00413,0.3562
2012,1,137.2615509,-0.02394,96.1644,0.00326,0.01962,121.1,-0.00493,0.422714286
2012,2,132.0202179,-0.03819,96.24754,0.00086,0.04335,121.8,0.00578,0.418285714
2012,3,103.7296371,-0.21429,96.10113,-0.00152,-0.0269,122.2,0.00328,0.445545455
2012,4,109.3126907,0.05382,95.95583,-0.00151,-0.00532,122.9,0.00573,0.444238095
2012,5,151.7851715,0.38854,95.96567,0.0001,-0.07266,122.8,-0.00081,0.372217391
2012,6,169.6490631,0.11769,96.13953,0.00181,0.04704,122.3,-0.00407,0.294380952
2012,7,129.9832306,-0.23381,96.41151,0.00283,0.01153,122.5,0.00164,0.228863636
2012,8,98.17868805,-0.24468,96.52052,0.00113,0.0135,123.1,0.0049,0.200608696
2012,9,124.4354324,0.26744,96.48634,-0.00035,0.00536,123.5,0.00325,0.1835
2012,10,153.9922791,0.23753,96.58085,0.00098,0.00708,124.2,0.00567,0.230347826
2012,11,162.1009674,0.05266,96.90792,0.00339,0.01455,124.4,0.00161,0.282
2012,12,140.6439056,-0.13237,96.98833,0.00083,0.00528,125,0.00482,0.339190476
2013,1,187.7702332,0.33508,96.98235,-0.00006,0.06427,124.4,-0.0048,0.391956522
2013,2,97.38130188,-0.48138,96.94135,-0.00042,0.01337,125.2,0.00643,0.29595
2013,3,108.9633484,0.11894,97.05429,0.00117,0.00801,125.6,0.00319,0.205238095
2013,4,101.4081497,-0.06934,97.26115,0.00213,0.00287,125.9,0.00239,0.243818182
2013,5,72.98243713,-0.28031,97.62101,0.0037,0.03528,126.1,0.00159,0.314869565
2013,6,90.50814056,0.24014,98.212,0.00605,-0.06632,125.9,-0.00159,0.35955
2013,7,68.18799591,-0.24661,99.03865,0.00842,0.06525,125.8,-0.00079,0.341347826
2013,8,91.64772797,0.34404,99.57449,0.00541,-0.03143,126.4,0.00477,0.366681818
2013,9,94.26217651,0.02853,99.77892,0.00205,0.00769,126.8,0.00316,0.411238095
2013,10,110.996376,0.17753,99.74846,-0.00031,0.04166,126.9,0.00079,0.408826087
2013,11,82.07479095,-0.26056,99.72599,-0.00023,-0.01201,127,0.00079,0.398428571
2013,12,89.42393494,0.08954,99.99769,0.00272,0.01481,127.5,0.00394,0.415619048
